																																																																			
Income from indivduals from 2001 to 2021																																																																			
																																																																			
	2001			2002			2003			2004			2005			2006			2007			2008			2009				2010			2011			2012			2013			2014			2015			2016			2017			2018				2019			2020			2021				
taxable income	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Taxable Income	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)		Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)		
																												"bands to $300,000"																																							
																																																																			
																																																								nil	"195,300"	0.0	0.0	"229,770"	0.0	0.0	"253,380"	0.0	0.0		
nil	"107,720"	0.0	0.0	"113,900"	0.0	0.0	"117,580"	0.0	0.0	"121,650"	0.0	0.0	"126,520"	0.0	0.0	"141,660"	0.0	0.0	"117,240"	0.0	0.0	"129,740"	0.0	0.0	"136,150"	0.0	0.0	nil	"134,610"	0.0	0.0	"126,530"	0.0	0.0	"113,870"	0.0	0.0	"107,470"	0.0	0.0	"104,350"	0.0	0.0	"102,070"	0.0	0.0	"109,120"	0.0	0.0	"102,220"	0.0	0.0	"94,210"	0.0	0.0	$0.01    -   $100	"191,010"	3.5	0.4	"183,750"	3.5	0.4	"196,770"	3.0	0.3		
"$1      -   $1,000"	"102,510"	45.2	6.4	"105,820"	47.9	6.2	"107,160"	49.6	6.5	"101,730"	46.9	6.2	"109,680"	49.9	6.7	"107,530"	50.5	6.7	"106,050"	50.3	6.4	"98,580"	46.4	5.9	"93,160"	44.9	5.1	"$101     -   $1,000"	"91,280"	44.9	4.7	"83,230"	41.3	3.9	"83,000"	40.4	3.5	"81,400"	40.3	4.2	"83,060"	39.7	4.2	"86,290"	41.7	4.4	"79,110"	38.3	4.0	"77,220"	37.9	4.0	"80,880"	36.9	3.9	"$101     -   $1,000"	"102,990"	47.8	5.0	"102,520"	47.1	4.9	"81,200"	38.4	4.0		
"$1,001  -   $2,000"	"68,850"	101.9	15.0	"69,870"	103.3	13.8	"70,000"	103.5	14.0	"69,610"	103.4	13.9	"69,510"	103.0	14.1	"74,370"	111.2	15.0	"72,060"	106.7	13.5	"66,330"	99.5	12.2	"64,330"	95.5	10.7	"$1,001  -   $2,000"	"61,820"	92.0	9.7	"59,530"	88.8	8.4	"56,010"	83.1	7.3	"55,590"	82.8	8.7	"58,080"	86.5	9.1	"52,960"	79.2	8.3	"53,730"	79.6	8.3	"52,250"	77.6	8.1	"52,210"	77.5	8.1	"$1,001  -   $2,000"	"57,430"	84.5	8.9	"55,270"	81.1	8.5	"43,940"	64.2	6.7		
"$2,001  -   $3,000"	"57,490"	143.7	22.1	"59,780"	149.9	21.1	"60,420"	149.7	21.1	"60,660"	150.9	21.2	"59,970"	148.8	21.0	"59,960"	150.1	21.1	"60,320"	150.0	19.1	"59,780"	149.1	18.0	"57,670"	143.8	16.2	"$2,001  -   $3,000"	"54,910"	137.7	14.4	"54,910"	136.3	13.2	"51,330"	128.0	11.5	"44,070"	109.8	11.5	"46,360"	115.7	12.1	"46,240"	115.8	12.1	"46,470"	116.0	12.1	"45,470"	113.4	11.9	"44,700"	111.7	11.7	"$2,001  -   $3,000"	"45,960"	114.6	12.0	"43,680"	108.9	11.4	"33,540"	83.4	8.8		
"$3,001   -  $4,000"	"52,640"	184.3	28.5	"53,650"	187.8	26.7	"53,060"	185.5	26.5	"55,380"	193.9	27.5	"55,960"	195.1	28.1	"53,200"	186.0	26.5	"55,110"	192.8	25.9	"53,130"	185.7	23.9	"51,490"	179.6	21.5	"$3,001   -  $4,000"	"47,800"	167.0	18.3	"46,550"	162.4	16.5	"43,440"	151.6	14.0	"44,770"	156.6	16.4	"42,390"	148.4	15.6	"45,950"	160.5	16.8	"42,760"	149.6	15.6	"41,930"	146.5	15.3	"41,580"	145.3	15.3	"$3,001   -  $4,000"	"41,970"	146.8	15.4	"40,100"	140.2	14.7	"30,100"	105.3	11.1		
"$4,001   -  $5,000"	"55,290"	249.7	39.0	"53,540"	240.4	34.4	"49,660"	223.9	32.3	"52,620"	236.6	34.2	"53,320"	239.9	34.4	"51,640"	233.4	33.6	"50,710"	228.1	31.4	"52,330"	235.5	31.6	"48,490"	218.1	27.0	"$4,001   -  $5,000"	"47,940"	216.7	24.5	"45,080"	203.1	21.3	"43,150"	194.1	18.4	"40,720"	183.3	19.2	"39,930"	179.9	18.9	"43,770"	197.0	20.7	"39,990"	180.2	18.8	"39,370"	177.3	18.5	"39,370"	177.1	18.6	"$4,001   -  $5,000"	"39,490"	177.7	18.7	"37,690"	169.6	17.8	"29,090"	130.9	13.7		
"$5,001   -  $6,000"	"49,590"	273.1	42.7	"55,240"	302.6	43.7	"48,800"	269.2	39.0	"50,480"	277.4	40.2	"50,330"	276.3	40.2	"51,870"	285.0	41.6	"49,970"	274.5	39.0	"48,080"	263.8	36.6	"47,450"	261.0	33.1	"$5,001   -  $6,000"	"49,890"	274.7	31.7	"43,100"	237.5	24.9	"42,090"	231.3	22.3	"42,550"	234.0	24.5	"42,470"	233.7	24.5	"42,170"	232.3	24.4	"40,070"	220.5	23.1	"39,780"	218.8	22.9	"38,750"	213.1	22.4	"$5,001   -  $6,000"	"38,620"	212.4	22.3	"36,190"	199.0	20.9	"27,330"	150.4	15.8		
"$6,001   -  $7,000"	"57,110"	370.9	59.0	"50,990"	331.8	48.6	"51,510"	334.7	48.9	"48,990"	318.4	46.7	"48,840"	317.4	46.6	"50,020"	324.7	47.7	"52,470"	341.2	48.9	"49,720"	324.3	46.1	"49,760"	323.7	41.2	"$6,001   -  $7,000"	"43,190"	280.5	32.7	"46,050"	299.4	32.2	"42,800"	278.7	27.4	"42,290"	274.9	28.8	"42,340"	275.4	28.9	"40,980"	266.5	28.0	"39,590"	257.2	26.9	"38,960"	253.3	26.5	"38,240"	248.5	26.1	"$6,001   -  $7,000"	"37,150"	241.5	25.4	"35,600"	231.5	24.3	"27,460"	178.5	18.7		
"$7,001   -  $8,000"	"76,280"	574.5	91.8	"69,400"	526.9	78.3	"55,840"	420.3	62.4	"49,790"	373.3	55.7	"51,150"	384.1	57.1	"50,990"	382.6	56.8	"49,400"	370.3	54.2	"45,150"	338.3	49.1	"46,350"	348.0	45.4	"$7,001   -  $8,000"	"46,970"	352.8	42.0	"45,640"	343.1	37.6	"46,440"	349.0	35.1	"42,430"	317.8	33.3	"42,630"	319.6	33.5	"42,610"	319.4	33.5	"40,700"	305.3	31.9	"39,620"	297.2	31.1	"38,260"	287.0	30.1	"$7,001   -  $8,000"	"37,170"	278.9	29.3	"35,630"	267.2	28.1	"29,500"	220.5	23.1		
"$8,001   -  $9,000"	"76,880"	649.8	105.3	"66,770"	566.1	84.6	"74,850"	631.9	94.7	"75,090"	638.6	95.7	"67,390"	573.3	86.0	"64,890"	553.2	82.8	"63,810"	547.6	81.4	"49,880"	424.6	62.2	"46,660"	396.7	52.8	"$8,001   -  $9,000"	"49,630"	422.2	51.2	"46,440"	394.6	44.0	"44,930"	382.4	39.1	"43,490"	370.2	38.8	"42,460"	361.3	37.9	"41,800"	355.0	37.2	"40,940"	348.1	36.5	"40,090"	340.9	35.7	"39,290"	333.9	35.1	"$8,001   -  $9,000"	"38,210"	324.7	34.1	"36,610"	311.3	32.7	"28,370"	241.2	25.3		
"$9,001   - $10,000"	"115,370"	"1,085.0"	173.0	"110,070"	"1,050.3"	158.8	"91,640"	875.0	132.4	"62,970"	603.2	91.6	"53,560"	508.2	77.1	"50,620"	481.1	73.0	"48,330"	458.6	69.2	"58,080"	547.0	81.9	"57,730"	545.9	74.1	"$9,001   - $10,000"	"64,320"	610.4	75.3	"65,530"	623.8	70.9	"61,140"	584.4	60.5	"58,490"	561.6	58.9	"54,710"	525.9	55.2	"42,900"	409.0	42.9	"42,200"	401.5	42.0	"42,060"	400.2	41.9	"40,510"	385.4	40.5	"$9,001   - $10,000"	"38,630"	367.3	38.6	"37,320"	354.9	37.3	"29,000"	275.8	29.0		
"$10,001  - $11,000"	"191,540"	"2,026.4"	322.6	"77,860"	819.7	128.5	"91,020"	955.2	149.3	"88,570"	922.6	143.8	"90,880"	948.5	147.9	"87,890"	924.2	144.7	"72,840"	769.5	120.3	"49,160"	517.0	80.5	"46,080"	483.8	67.1	"$10,001  - $11,000"	"47,930"	503.7	62.3	"49,210"	516.6	58.8	"45,480"	476.4	49.6	"41,640"	437.2	45.9	"41,450"	435.3	45.7	"55,480"	578.3	60.7	"52,370"	547.3	57.3	"52,070"	545.6	57.1	"47,590"	498.3	52.3	"$10,001  - $11,000"	"47,240"	495.4	52.0	"45,510"	479.0	50.3	"31,010"	325.4	34.2		
"$11,001  - $12,000"	"101,480"	"1,167.4"	194.9	"209,640"	"2,385.1"	382.0	"183,580"	"2,096.3"	336.2	"188,070"	"2,178.8"	351.0	"184,720"	"2,165.1"	350.0	"69,150"	797.0	128.6	"66,480"	760.9	122.3	"79,900"	910.8	145.8	"78,290"	899.2	127.7	"$11,001  - $12,000"	"82,460"	948.2	118.1	"87,380"	"1,007.9"	115.4	"76,750"	888.9	92.9	"72,330"	843.0	88.5	"69,820"	815.3	85.5	"46,660"	537.9	56.4	"42,200"	485.9	50.8	"43,550"	501.9	52.5	"43,390"	498.1	52.3	"$11,001  - $12,000"	"43,630"	500.9	52.6	"42,930"	493.3	51.8	"38,460"	444.2	46.6		
"$12,001  - $13,000"	"98,200"	"1,244.9"	211.6	"66,450"	830.1	137.0	"93,270"	"1,158.4"	190.6	"96,990"	"1,217.9"	201.1	"88,930"	"1,120.9"	185.2	"168,110"	"2,069.4"	339.3	"181,340"	"2,275.8"	374.9	"64,000"	802.3	132.3	"47,190"	589.8	84.9	"$12,001  - $13,000"	"53,060"	661.2	82.1	"50,470"	628.4	71.9	"58,830"	731.0	76.4	"59,080"	737.0	77.3	"55,430"	692.3	72.6	"79,340"	986.6	103.6	"81,070"	"1,013.6"	105.9	"77,170"	957.7	100.1	"76,980"	959.7	100.8	"$12,001  - $13,000"	"72,590"	907.4	95.3	"74,540"	941.3	98.8	"48,500"	606.0	63.6		
"$13,001  - $14,000"	"89,950"	"1,209.6"	211.2	"119,660"	"1,622.2"	272.8	"103,410"	"1,407.3"	237.0	"64,290"	866.5	145.8	"72,490"	974.4	163.8	"99,040"	"1,323.3"	221.9	"97,210"	"1,317.5"	221.5	"209,160"	"2,815.6"	472.3	"63,340"	856.0	124.9	"$13,001  - $14,000"	"66,600"	900.6	112.2	"61,990"	841.1	96.3	"46,510"	627.7	65.7	"45,040"	607.8	63.8	"45,650"	616.8	64.7	"42,950"	580.1	60.9	"41,720"	563.6	59.1	"44,330"	598.5	62.7	"43,860"	592.4	62.2	"$13,001  - $14,000"	"48,660"	655.2	68.8	"46,130"	621.8	65.3	"35,220"	475.7	49.9		
"$14,001  - $15,000"	"165,270"	"2,364.6"	409.3	"153,640"	"2,243.2"	383.8	"170,390"	"2,506.5"	429.7	"120,160"	"1,733.6"	296.0	"113,130"	"1,640.6"	280.5	"99,500"	"1,454.8"	249.2	"55,870"	810.1	138.4	"57,630"	835.2	142.8	"219,370"	"3,139.2"	465.9	"$14,001  - $15,000"	"225,670"	"3,228.9"	409.1	"226,790"	"3,294.5"	387.7	"109,180"	"1,591.2"	171.2	"108,040"	"1,592.6"	172.8	"43,750"	634.3	68.1	"43,990"	638.9	68.6	"42,600"	618.1	66.3	"41,740"	605.5	64.9	"39,700"	575.8	61.9	"$14,001  - $15,000"	"39,660"	575.1	61.8	"40,390"	584.8	62.7	"91,450"	"1,334.8"	144.0		
"$15,001  - $16,000"	"55,130"	853.6	152.4	"76,220"	"1,176.1"	203.9	"77,610"	"1,201.1"	208.3	"155,680"	"2,407.6"	417.3	"153,710"	"2,394.0"	415.6	"99,400"	"1,530.0"	265.1	"128,310"	"1,987.8"	344.6	"51,860"	803.5	139.5	"51,250"	794.3	121.5	"$15,001  - $16,000"	"51,940"	805.0	106.9	"54,830"	848.3	103.5	"184,390"	"2,830.1"	314.4	"184,690"	"2,891.8"	325.0	"112,460"	"1,720.0"	190.7	"109,560"	"1,697.1"	189.6	"96,090"	"1,492.6"	166.6	"94,010"	"1,450.0"	161.2	"91,370"	"1,419.0"	158.8	"$15,001  - $16,000"	"89,010"	"1,393.7"	156.6	"37,440"	580.6	64.9	"39,290"	608.2	67.9		
"$16,001  - $17,000"	"51,980"	857.1	154.9	"49,690"	818.9	144.0	"50,360"	830.6	146.1	"64,120"	"1,054.5"	185.3	"71,870"	"1,181.1"	207.4	"139,230"	"2,262.3"	396.1	"141,800"	"2,350.4"	413.0	"127,090"	"2,068.5"	362.2	"87,990"	"1,445.7"	226.0	"$16,001  - $17,000"	"92,520"	"1,528.3"	210.7	"95,350"	"1,581.2"	200.7	"93,070"	"1,556.1"	181.0	"49,270"	813.1	93.9	"188,400"	"3,058.0"	350.5	"191,340"	"3,170.5"	367.3	"204,040"	"3,426.4"	399.3	"54,690"	903.0	104.3	"53,030"	878.1	101.7	"$16,001  - $17,000"	"41,680"	687.5	79.5	"89,230"	"1,455.1"	167.2	"34,290"	565.7	65.4		
